pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.7819851040840149,0.7819851040840149,True,1,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U01000,G00863,1,0.7177682518959045,0.7177682518959045,True,1,¿puedo intentar?,¿yennitulek inpaleriak?,(grupo correcto),best
U01659,G01466,1,0.8180900812149048,0.8180900812149048,True,1,¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U02615,G02390,1,0.6420280337333679,0.6420280337333679,True,1,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.6290985345840454,0.6290985345840454,True,1,¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.738244354724884,0.738244354724884,True,1,"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.5951920747756958,0.5951920747756958,True,1,son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.6592524647712708,0.6592524647712708,True,1,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.6492252349853516,0.6492252349853516,True,1,está nevando.,pulunker'wanpalli,(grupo correcto),best
U03200,G02975,1,0.43428027629852295,0.43428027629852295,True,1,"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
U01218,G01058,1,0.862067699432373,0.862067699432373,True,1,tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.7363011240959167,0.7363011240959167,True,1,remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.6404501795768738,0.6404501795768738,True,1,"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
U02269,G02044,1,0.6188562512397766,0.6188562512397766,True,1,mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,(grupo correcto),best
U00971,G00837,1,0.5789574384689331,0.5789574384689331,True,1,te desmayaste.,muisu' kankantula,(grupo correcto),best
U02548,G02323,1,0.5850860476493835,0.5850860476493835,True,1,se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),best
