pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.831372082233429,0.831372082233429,True,1,shi_to_esp,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U02245,G02020,1,0.7167733311653137,0.7167733311653137,True,1,shi_to_esp,taserpitapilalli,está envejeciendo.,(grupo correcto),está envejeciendo.,taserpitapilalli,(grupo correcto),best
U02312,G02087,1,0.641993522644043,0.641993522644043,True,1,shi_to_esp,kupin ñinanlukla weklli.,desde una ciudad grande ha venido.,(grupo correcto),desde una ciudad grande ha venido.,kupin ñinanlukla weklli.,(grupo correcto),best
U01000,G00863,1,0.8242479562759399,0.8242479562759399,True,1,shi_to_esp,¿yennitulek inpaleriak?,¿puedo intentar?,(grupo correcto),¿puedo intentar?,¿yennitulek inpaleriak?,(grupo correcto),best
U01659,G01466,1,0.9052741527557373,0.9052741527557373,True,1,shi_to_esp,¿yennitula lli'a'mak?,¿puedes verlo?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U01830,G01626,1,0.8072075843811035,0.8072075843811035,True,1,shi_to_esp,¿yennitulek ka'tan'an'su'?,¿puedo acompañarle?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02615,G02390,1,0.8166245222091675,0.8166245222091675,True,1,shi_to_esp,"aper'etchuma', wer'etchuma'.","se van a confundir, se van a extraviar.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.8378777503967285,0.8378777503967285,True,1,shi_to_esp,¿yennitula a'lli'a'muk?,¿puedes mostrarme?,(grupo correcto),¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.8224344253540039,0.8224344253540039,True,1,shi_to_esp,"nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.","con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.7990605235099792,0.7990605235099792,True,1,shi_to_esp,u'chimulusa' nuker'ka,son buenos.,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
