pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01828,G01624,escucha atentamente.,lau'ker' musu',lli'ker' uti'lakla,mira cuidadosamente.,U02157,G01937,hard,0.6579791903495789,0.6025146245956421,0.05546456575393677,4
U01828,G01624,escucha atentamente.,lau'ker' musu',li'ker' musenkek,véase arriba.,U00404,G00328,medium,0.6579791903495789,0.5058851838111877,0.1520940065383911,10
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,ku'aper'wi'nek,estoy soltero.,U00564,G00468,hard,0.6283693313598633,0.568332850933075,0.06003648042678833,3
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,ñapalek dakuta'su',estoy avergonzado.,U02048,G01831,medium,0.6283693313598633,0.47295960783958435,0.15540972352027893,37
U02591,G02366,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,kuanta' uklupidekwek pekkuituu.,la mía también icáramela.,U02377,G02152,medium,0.7471351027488708,0.4691378176212311,0.27799728512763977,2
U02101,G01882,curémonos.,inlulen'awa',tumu'tulundek,nos engañaste.,U02203,G01980,medium,0.8053385019302368,0.6366418600082397,0.16869664192199707,2
U00921,G00895,esperame.,wa'ten'u,wa'tentapalek,estoy esperando.,U00830,G00706,hard,0.7786465287208557,0.6425509452819824,0.1360955834388733,3
U00921,G00895,esperame.,wa'ten'u,wa'tenchi'nek,no esperé.,U01396,G01220,medium,0.7786465287208557,0.6056302785873413,0.1730162501335144,5
U01034,G00895,deme tiempo.,wa'ten'u,wa'tenker',un momento.,U00248,G02022,hard,0.7176333069801331,0.6244667768478394,0.0931665301322937,4
U01034,G00895,deme tiempo.,wa'ten'u,ta'itula'u pa'ak,déjame ir.,U01144,G00997,medium,0.7176333069801331,0.5554540157318115,0.16217929124832153,9
U00920,G00790,apágalo.,a'tashunker',ek'ker'cher',ábrela.,U01162,G01014,hard,0.7196466326713562,0.6607813835144043,0.058865249156951904,2
U00920,G00790,apágalo.,a'tashunker',pili'ker' ikersu',agárrate fuerte.,U01361,G01187,medium,0.7196466326713562,0.5623792409896851,0.15726739168167114,6
U02138,G01918,me matarán.,dei'techuner'ku,dei'techek,le mataré.,U01439,G01258,hard,0.812118411064148,0.7012150287628174,0.11090338230133057,2
U02138,G01918,me matarán.,dei'techuner'ku,pinaner'u'ku,olvídenme.,U00305,G00244,medium,0.812118411064148,0.6235253214836121,0.1885930895805359,5
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿inapi ñapala?,¿estás libre?,U00987,G00851,hard,0.7622284293174744,0.6405487656593323,0.12167966365814209,2
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,wer'su' ñapalek,estoy perdida.,U00204,G00157,medium,0.7622284293174744,0.6087281107902527,0.15350031852722168,6
U01102,G00961,estoy confuso.,lachek'ki'nek,ku'la lachek'i'nek,no entiendo.,U01718,G01521,hard,0.7935013771057129,0.7279314994812012,0.06556987762451172,3
U01102,G00961,estoy confuso.,lachek'ki'nek,ninchichi'nek,ni idea.,U01728,G01530,medium,0.7935013771057129,0.631838858127594,0.1616625189781189,6
U01103,G00961,estoy confundido.,lachek'ki'nek,ku'la lachek'i'nek,no entiendo.,U01718,G01521,hard,0.7830838561058044,0.7043372988700867,0.07874655723571777,3
U01103,G00961,estoy confundido.,lachek'ki'nek,ku'la ñinchitapi'nek,no estudio.,U01397,G01221,medium,0.7830838561058044,0.5890468955039978,0.19403696060180664,7
U02351,G02126,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,"kutunshawek a'ña'kasu', dudinpu' enka'pallinerku.","la ropita que tengo, me dan de todo.",U02271,G02046,hard,0.6394869089126587,0.5674833655357361,0.07200354337692261,3
U02351,G02126,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,ala'sa' kupin uktaksa' iñer nana kaladaper uktakda' sekdunek.,en una sola olla grande se mezcla todo lo de esas tres ollas.,U02380,G02155,medium,0.6394869089126587,0.4799054265022278,0.1595814824104309,8
U00760,G00639,está fingiendo comer.,intek weranpalli,pada'sa'tapalli,está vibrando.,U01806,G01603,hard,0.7725685834884644,0.6624999046325684,0.110068678855896,2
U00760,G00639,está fingiendo comer.,intek weranpalli,u'wa'tak analli,fumar apesta.,U01846,G01641,medium,0.7725685834884644,0.5878965854644775,0.18467199802398682,3
U01675,G01481,¿me conocen?,¿luwer'chapalama'u?,¿luwer'chapalun?,¿me conoce?,U01978,G01766,medium,0.8430788516998291,0.666975736618042,0.1761031150817871,2
U02116,G01897,es brasileña.,brashika nuka'a,suila nuka'ka,soy huérfano.,U01450,G01268,medium,0.7955092787742615,0.5494979023933411,0.2460113763809204,2
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿sanekwanwiñi?,¿hacía frío?,U00926,G00795,hard,0.7164505124092102,0.6235490441322327,0.09290146827697754,3
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿sanekwantula?,¿tienes frío?,U00984,G00848,medium,0.7164505124092102,0.5533444881439209,0.1631060242652893,5
U00669,G00559,tomás esperó.,chuma wa'tentulli,kuda wa'tentulidek,nosotros esperamos.,U00449,G00365,medium,0.844791829586029,0.5560177564620972,0.2887740731239319,2
U00887,G00759,actúa.,nu'ter',tek'ker',corre.,U00132,G00094,medium,0.8213157057762146,0.6525354385375977,0.16878026723861694,2
U01068,G00927,no sé.,ñinchichi'nek,ku'la ñinchitapi'nek,no estudio.,U01397,G01221,hard,0.763708770275116,0.6748062372207642,0.0889025330543518,3
U01068,G00927,no sé.,ñinchichi'nek,yañinchitulek,quiero saberlo.,U01058,G01813,medium,0.763708770275116,0.6135801672935486,0.15012860298156738,4
U02195,G01974,escribe algo.,llinse'cher' manen'unta',¡tuker' ma'nen'unta'!,¡di algo!,U01516,G01331,medium,0.782441258430481,0.521371603012085,0.261069655418396,2
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',mupisusa' ñapallina',están limpias.,U01546,G01358,hard,0.7299726605415344,0.6668225526809692,0.06315010786056519,4
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',saka'tusu' ñapallina',están cansados.,U01548,G01360,medium,0.7299726605415344,0.5747723579406738,0.1552003026008606,10
U02483,G02258,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,ñapawinek nanpiladasu',estaba despierto.,U00799,G00676,medium,0.757626473903656,0.49933579564094543,0.25829067826271057,2
U01267,G01102,eres rico.,kulliker'wanpala,yaku'aper'wana,estás enamorado.,U01925,G01716,hard,0.7002918720245361,0.6081161499023438,0.09217572212219238,2
U01267,G01102,eres rico.,kulliker'wanpala,kaluwi'pala,estás enfermo.,U00980,G01721,medium,0.7002918720245361,0.535975456237793,0.16431641578674316,4
U01065,G00924,me corté.,indei'tulek,a'aper'lek',fracasé.,U00175,G00133,hard,0.764178991317749,0.6282452344894409,0.1359337568283081,2
U01065,G00924,me corté.,indei'tulek,yen'ner'lek',me incliné.,U00084,G00058,medium,0.764178991317749,0.6062905788421631,0.15788841247558594,4
U01708,G01511,ya sé.,ipa' ñinchitulek,yañinchitulek,quiero aprender.,U02029,G01813,medium,0.7749829888343811,0.557019829750061,0.21796315908432007,3
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡enpu'ni aperpipa'!,¡qué horrible!,U01054,G00914,hard,0.717624306678772,0.6645835638046265,0.05304074287414551,3
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡enpu'ni mupenchipa'!,¡qué romántico!,U01055,G00915,medium,0.717624306678772,0.5640270113945007,0.15359729528427124,6
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,kadu'lusa' nuker'ka,son huevos.,U01206,G01047,hard,0.7843204736709595,0.7180472016334534,0.0662732720375061,3
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,nuka'kawa taserpilusa',somos adultos.,U01250,G01086,medium,0.7843204736709595,0.5972867608070374,0.18703371286392212,4
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","nanekla ñi a'pinta' yapitetchi'ñina', ñi ananchi'ñina', ñi asu' pankuellinchi'ñina'.","de ahí ya no quisieron hilar, ya no desmotaban el algodón, ya no hacían ovillo.",U02987,G02762,medium,0.7285159230232239,0.5042540431022644,0.22426187992095947,2
U00973,G00839,me lastimas.,a'kaluwi'lun,luyullien,te detesto.,U00525,G00435,medium,0.778755247592926,0.6211773157119751,0.15757793188095093,2
U00201,G00154,estoy herido.,chacha'lek ñapalek,mudinui'su' ñapalek,estoy débil.,U00216,G00168,hard,0.7976048588752747,0.7305319309234619,0.06707292795181274,11
U00201,G00154,estoy herido.,chacha'lek ñapalek,sha'mu'su' ñapalek,estoy flacucho.,U00565,G00469,medium,0.7976048588752747,0.644392192363739,0.15321266651153564,16
U02793,G02568,cuando un viejo hablaba los niños no debían asomarse.,"taserpi lunpasik, wilalusa' kawichi'ñina'.",nu'unta'shasi'pa' wilaweklusa' lachek'apilanti'ñina'.,"algunitos de mis hijos quizás me estén entendiendo, pero ya no entienden bien.4",U02414,G02189,medium,0.7551804184913635,0.5295892953872681,0.22559112310409546,2
U01772,G01572,me desnudo.,inanpilechek,a'aper'lek',fracasé.,U00175,G00133,hard,0.5408846735954285,0.48522987961769104,0.05565479397773743,8
U01772,G01572,me desnudo.,inanpilechek,ma'kimpu nuka'ka,soy torpe.,U00557,G00462,medium,0.5408846735954285,0.3908020853996277,0.15008258819580078,46
U00561,G00466,me mudaré.,yunsue'chek,yute'chek,le reñiré.,U01766,G01566,medium,0.8426685333251953,0.6803711652755737,0.16229736804962158,3
U00295,G00234,no preguntes.,yalek'tuta,yainyututa,no discutas.,U01178,G01026,hard,0.8035757541656494,0.701445996761322,0.10212975740432739,2
U00295,G00234,no preguntes.,yalek'tuta,yataitula'ta,no pares.,U00488,G00401,medium,0.8035757541656494,0.5856753587722778,0.21790039539337158,5
U03009,G02784,(las mujeres) lloraban bastante y después se acostumbraban.,wellek'apawi'ni'ma tekkiyallina'.,"inmusha'iteklatanna', wellekllina'.","besándose las manos, lloraban.",U02776,G02551,hard,0.7055789828300476,0.6454927325248718,0.06008625030517578,2
U03009,G02784,(las mujeres) lloraban bastante y después se acostumbraban.,wellek'apawi'ni'ma tekkiyallina'.,inluyupallina'pi'la ipa'la walek.,se desprecian hasta la actualidad.,U03098,G02873,medium,0.7055789828300476,0.5367227792739868,0.1688562035560608,3
U01299,G01130,eres inteligente.,iñer' ñinchitapala',lu'uktutek'ken ñiker,sé confiado.,U00996,G00859,hard,0.7716723680496216,0.6335169076919556,0.13815546035766602,3
U01299,G01130,eres inteligente.,iñer' ñinchitapala',iñer' ñinchitulusa' nuker'ka,son inteligentes.,U01300,G01131,medium,0.7716723680496216,0.6177167296409607,0.1539556384086609,6
U00359,G00290,llovió.,u'lanñi,ikerlli,duele.,U00221,G00173,hard,0.800346314907074,0.6698825359344482,0.13046377897262573,3
U00359,G00290,llovió.,u'lanñi,lamapu'lek,grité.,U00543,G00449,medium,0.800346314907074,0.6446489691734314,0.15569734573364258,5
U01059,G00918,estoy lesionado.,ñapalek da'peksu',ñapalek pilli'pi,estoy atrapado.,U00829,G00705,hard,0.7808772325515747,0.7284349203109741,0.052442312240600586,11
U01059,G00918,estoy lesionado.,ñapalek da'peksu',kadulunsu' ñapalek,estoy embarazada.,U01111,G00968,medium,0.7808772325515747,0.6237666010856628,0.15711063146591187,22
U00660,G00550,tom miró.,tom lli'tulli,tom lli'inutulli,tom recordó.,U01875,G01669,hard,0.8770464658737183,0.7581346035003662,0.11891186237335205,2
U00660,G00550,tom miró.,tom lli'tulli,lli'dek'lek,los vi.,U01780,G01579,medium,0.8770464658737183,0.6469026207923889,0.23014384508132935,3
U01633,G01444,lo verás.,lli'echu,lli'echek,lo miraré.,U01446,G01264,hard,0.8614189028739929,0.7280774712562561,0.13334143161773682,3
U01633,G01444,lo verás.,lli'echu,lli'aterwa',miramos,U01589,G01400,medium,0.8614189028739929,0.6564936637878418,0.20492523908615112,4
U01634,G01444,la verás.,lli'echu,lli'echek,lo miraré.,U01446,G01264,hard,0.8479212522506714,0.7285516262054443,0.11936962604522705,3
U01634,G01444,la verás.,lli'echu,lli'aterwa',miramos,U01589,G01400,medium,0.8479212522506714,0.6516298055648804,0.19629144668579102,4
U00024,G01474,¿entendiste?,¿lachek'la?,¿lauk'lun?,¿me oíste?,U01960,G01750,hard,0.8147087097167969,0.7424622774124146,0.07224643230438232,3
U00024,G01474,¿entendiste?,¿lachek'la?,lauk'llien,te oí.,U00781,G00658,medium,0.8147087097167969,0.6357802748680115,0.1789284348487854,5
U01667,G01474,¿entendió?,¿lachek'la?,¿nu'la'lli?,¿es grave?,U00352,G00283,medium,0.8013997673988342,0.6241924166679382,0.177207350730896,3
U02797,G02572,las viejas finadas y los viejos finados se sentaban y hablaban de ese arákayu.,"tasellunku'lusa' papinkuku'lusa' du'anna', nana arakayukin luñina'.",nana mukankinpu'lalusa'ler arakayu pideknen di'setchullina'.,porque los de mal corazón quemaron la casa de arákayu.,U02788,G02563,medium,0.7936287522315979,0.5259374976158142,0.2676912546157837,2
U02082,G01864,solo pruébatela.,lataker'sa',teklerier' ninchita'mak,adivina.,U01151,G01004,medium,0.7951850295066833,0.6271113157272339,0.16807371377944946,2
U01036,G00897,buenos días.,muuklli,mulusa',buenas.,U00167,G00125,medium,0.7387444972991943,0.5583721995353699,0.18037229776382446,3
U01640,G01450,estás delgado.,sha'mu'su' nuka'ma,a'lliupiken nuka'ma,sos grande.,U00966,G00832,hard,0.7571616172790527,0.6726844906806946,0.08447712659835815,2
U01640,G01450,estás delgado.,sha'mu'su' nuka'ma,yaku'aper'wana,estás enamorado.,U01925,G01716,medium,0.7571616172790527,0.6050804853439331,0.15208113193511963,4
U02693,G02468,gritó arákayu.,lukatullima arakayu.,"yulli, willeklli, wa'inutulli arakayu.","se rabió, lloró, tuvo mucha pena arákayu.",U02694,G02469,hard,0.7745025753974915,0.6436097621917725,0.130892813205719,2
U02693,G02468,gritó arákayu.,lukatullima arakayu.,arakayu ima luntulli wa'anler.,a arákayu le habló el gobernante.,U02672,G02447,medium,0.7745025753974915,0.5602132678031921,0.21428930759429932,3
U00044,G00036,¿en serio?,¿tekinchi?,¿tekinchi'cha?,¿es verdad?,U00579,G00481,medium,0.7822904586791992,0.5777997970581055,0.20449066162109375,3
U00045,G00036,¿la verdad?,¿tekinchi?,¿tekinchi'cha?,¿es verdad?,U00579,G00481,medium,0.8394708037376404,0.6788289546966553,0.1606418490409851,3
U02661,G02436,está regalando (pescado).,panutapalli.,tanluwatapalli,hace viento.,U00590,G00721,medium,0.798625111579895,0.6333754658699036,0.16524964570999146,2
