pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U02595,G02370,luego alegrándose los invitó a su patio exterior.,nu'an ima arakayu sakek'an peklu'deklli inyulateknen ima.,sekkankatan indi'dektulli sadinlek.,dando un brinco se lanzó al agua con su señora.,U02700,G02475,hard,0.7370973229408264,0.6673943400382996,0.06970298290252686,3
U03105,G02880,todos los hombres deberían ser como malallina.,nana malallinapu'wa'su' ñillin iñer enmu'pinen.,"iñer ñinchita'kudeksu' napi'ku'lusa'ki,","todo lo que sabemos de los antiguos,",U02306,G02081,hard,0.5971194505691528,0.5262426733970642,0.07087677717208862,4
U01471,G01289,se quebró.,nupek'tulli,nana uk'lli,ella vino.,U00240,G00190,medium,0.7472353577613831,0.5880776643753052,0.15915769338607788,25
U01246,G01083,¡lo logramos!,¡kananekwa'!,¡intek'klieriwa'!,¡intentémoslo!,U00389,G00317,hard,0.8328668475151062,0.6955302357673645,0.1373366117477417,4
U00754,G00633,él envejeció.,nana taserpitulli,chiminllinkekla nampilli,sobrevivió.,U01288,G01119,medium,0.7300131320953369,0.566737711429596,0.16327542066574097,16
U02530,G02305,"los niños se venían llorando y cuando regresaban, dice, the children left, crying, and on their way back,","wilalusa' wellek'apilenchan ima, uk'apilenchani'ma,","wilalunlusa'nta kuten'anna', kekkilu'tek lli'anna', tandulalusa' lli'anna', willekllina'.","las jóvenes también, alzando la vista, mirando al cielo, mirando las estrellas, lloraban.",U02564,G02339,hard,0.7868359088897705,0.6803412437438965,0.10649466514587402,3
U01051,G00911,está sufriendo.,insek'lutenapalli,analli,apesta.,U00360,G00291,medium,0.6876214146614075,0.5362633466720581,0.15135806798934937,33
U02363,G02138,"cuando está humeando, humeando, humeando,","mu'ka mu'ka mu'katapasik,","iñer u'lan'ukllik wisunanpalli,","todas las temporadas de lluvias inunda,",U02753,G02528,medium,0.7686946988105774,0.6137431263923645,0.1549515724182129,6
U02010,G01795,sigo estornudando.,a'shupalekpi'la,nerpi'pu' dekundapalek,siempre camino.,U01384,G01209,medium,0.8730613589286804,0.7071240544319153,0.16593730449676514,2
U01729,G01531,tengo hermanas.,utrinwanpalek,ala'sa' luantulek,¡quiero uno!,U00549,G00455,hard,0.7160865068435669,0.6015080213546753,0.1145784854888916,2
U00467,G00382,sé serio.,yamercha,ñaper' lu'uk'tan,estate atento.,U00728,G00610,medium,0.6247336268424988,0.4694320559501648,0.15530157089233398,27
U00464,G00379,¡sé cuidadoso!,¡li'ker'la!,¡wiuker'!,¡date prisa!,U00170,G00128,medium,0.8377100229263306,0.6867316961288452,0.15097832679748535,9
