pair_id,ESP,SHIWILU
P00000,La mujer de Arákayu era baja de estatura.,ARAKAYU SADIN UWENLUNCHA.
P00001,"No sabía enojarse, solamente hacía gestos con la boca.","ÑINCHIYUI’NSU’, MERMINLA’SU’."
P00002,Se sentaba sobre el lomo de un súngaro doncella.,DU’APALLI DA’WANSER PITEKKEK.
P00003,Esa doncella era de carne impecable.,NANA DA’WANSER MULU’SHA’SU’.
P00004,"Sentada desde allí, empuñando el pez macana arreaba a los peces.","DU’AN NANEKLAN, SERWIN PILLI’TAN SAMELLUSA’ DIMUDEKLLI."
P00005,La mujer de Arákayu también era bella.,ARAKAYU SADINTA’ U’CHA’PAYALUNSHA.
P00006,"Todos la apreciaban, la ambicionaban,","IÑETLLER TANTENA’SU’, LUYA’SU’,"
P00007,“¡Qué bonita mujer!” decían.,“¡U’CHA’PAYALUNSHA!” TULLINA’.
P00008,"Después (era) de pelo largo y negro,","NU’SIK SHINENCHEK, KER’ENCHEK,"
P00009,"carita redonda,","MUNKULADALUNSHA,"
P00010,"cara llena,","MUR’LADATUSU’,"
P00011,mejillas templadas.,KIKITEKNEN PEKCHITEKTUSU’.
P00012,Por eso todos la ambicionaban.,NU’ASU MALEK IÑETLLER LUYALLI.
P00013,Antes decían las señoritas cuando se insultaban,TULLINA’ NAPI’ WILALUNLUSA’ ÑIPERCHANNA’
P00014,“Te jactas como si te parecieras a la mujer de Arákayu” decían las jovencitas.,“U’AN ARAKAYU SADINLUNSHAPU’N IPA’ INTUMU’TULAMA’” TULLINA’ WILALUNLUSA’.
P00015,Los que vieron a la mujer de Arákayu decían,LLI’LUSA’LER ARAKAYU SADIN LUÑINA’
P00016,"“La mujer de Arákayu es como la luna llena (que quiere amanecer),","“ARAKAYU SADI’NA’ DUKER YANUKLLI,"
P00017,"como la carita de la luna llena,","LADASHAPU’LLI,"
P00018,es la mujer de Arákayu.”,ARAKAYU SADIN.
P00019,Los finados shiwilu a la que llamamos ahora “Campana Poza” antes la llamaban “Ballena Poza”.,SHIWILUKU’LUSA’ IPA’LA ITA’KAWA’SU’ “KANPANA’ PITUN” NAPI’ I’NA ITULLINA’ “LANLA’ PITUN”.
P00020,Allí dice vivía una ballena.,NANEK IMA LANLA’ ÑILLI.
P00021,Dicen que Arákayu puso una ballena y salió (de la región).,ARAKAYU IMA LANLA’ AKUN YUNSU’LLI.
P00022,“Esto les va a devorar a todos los malos”,“ASU’LER PEKDADEK’ETCHU MUKANKINPU’LUSA’”
P00023,dijo Arákayu y puso la ballena.,TAN IMA ARAKAYU NANA LANLA’ AKU’LLI.
P00024,Ahora a la que antes llamaban “Ballena Poza” la llaman “Campana Poza”.,IPA’LA “LANLA’ PITUN” ITULLINA’ NAPI’ IPA’LI’NA “KANPANA’ PITUN” ITULLINA’.
P00025,Dicen que todas estas cosas Arákayu enojándose nos ha dejado al irse.,NANADAPER IMA’KA ARAKAYU YUN PA’LAPINANTULLINERKUDEK.
P00026,"A la ballena la mató Marcel,","LANLA’ I’NA DI’TULLI MARCELLER,"
P00027,él mató a la ballena.,DI’TULLI LANLA’.
P00028,Dicen que cuando Marcel bajaba el río en un patecito la ballena se lo tragó.,MARCEL IMA PACHISHAK NU’WANTAN LANLA’LER LANPI’TULLI.
P00029,"Ahí entrando (dentro de la ballena, Marcel) le vio su corazón.",NANEK DA’AN LLI’ITULLI DINLUPINEN.
P00030,“La mataré” dijo y le trozó el corazón.,“DI’TETCHEK” TAN DINLUPINEN DEKTUINTULLI.
P00031,Ahí dice (la ballena) salió a la playa y saliendo murió.,"NANEKLIMA YUNSU’LLI DELLUTEKKEK, YUNSU’N CHIMIÑI."
P00032,Ahí se pudrió.,NANEK TAWETCHULLI.
P00033,"De ahí, esta la “Ballena Poza” se redujo.",NANEKLIMAKA ASU’ NANA LANLA’ PITUNTA’ UWENTUNTA’LLI.
P00034,Dicen que antes era grande Ballena Poza.,A’LLUPIMA ÑIWIÑI NAPI’ LANLA’ PITUN.
