pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01828,G01624,escucha atentamente.,lau'ker' musu',li'ker' musenkek,véase arriba.,U00404,G00328,hard,0.727383017539978,0.6549488306045532,0.0724341869354248,3
U01828,G01624,escucha atentamente.,lau'ker' musu',nantapitek' ñiker',sé fuerte.,U00138,G00099,medium,0.727383017539978,0.5754109621047974,0.15197205543518066,16
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,insek'diperpiku' nuka'ka,estoy listo. (preparado),U00218,G00170,hard,0.694581925868988,0.6358727216720581,0.05870920419692993,40
U02591,G02366,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,kala ekkilala ima uketlli.,cuentan que tres años ardió.,U02552,G02327,hard,0.7790681719779968,0.6439096331596375,0.13515853881835938,2
U02591,G02366,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,a'lek'etchenma' kuda ukluta'kudeksu'.,les voy a enseñar la elaboración de la chicha punta.,U02335,G02110,medium,0.7790681719779968,0.6206134557723999,0.15845471620559692,3
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,"lli'llini'ma tekka'pilasik panpadeklupa', tupitullina' ñi kasek'i'ñina'.","lo vieron corriendo hacia el pampayacu, lo siguieron pero no lo alcanzaron.",U03081,G02856,hard,0.6861990690231323,0.6096335649490356,0.07656550407409668,2
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,"naneima a'lachiktulli aner yanu'tudektama' asu' yadi'tudektama', nawa' uk'i'ñina' ya'di'nna' tullima nana a'lachikta'su'.","él ha explicado: a ellos no los traten así, a ellos no los maten, ellos no han venido a matar dijo el intérprete.",U02975,G02750,medium,0.6861990690231323,0.5309807658195496,0.15521830320358276,3
U02101,G01882,curémonos.,inlulen'awa',llia'terwa',nos quedamos.,U01588,G01399,hard,0.8074366450309753,0.7534715533256531,0.053965091705322266,3
U02101,G01882,curémonos.,inlulen'awa',dek'awa',votemos.,U00609,G00505,medium,0.8074366450309753,0.65379399061203,0.1536426544189453,19
U00921,G00895,esperame.,wa'ten'u,wa'ten'u'kudek,espéranos.,U00922,G00791,hard,0.7899688482284546,0.6694418787956238,0.12052696943283081,3
U00921,G00895,esperame.,wa'ten'u,luwuk'tu'u,vigílame.,U00267,G00213,medium,0.7899688482284546,0.6340224742889404,0.15594637393951416,4
U01034,G00895,deme tiempo.,wa'ten'u,a'ñinchitu'u,házmelo saber.,U00850,G00726,hard,0.7161489129066467,0.6324378848075867,0.08371102809906006,4
U01034,G00895,deme tiempo.,wa'ten'u,a'uktu'u,mándemelos.,U02113,G01894,medium,0.7161489129066467,0.5658873319625854,0.15026158094406128,17
U00920,G00790,apágalo.,a'tashunker',a'nambiker',despertalo.,U00923,G00792,hard,0.8083889484405518,0.7434043288230896,0.06498461961746216,8
U00920,G00790,apágalo.,a'tashunker',pilli'ter',¡arrestadlo!,U00406,G00329,medium,0.8083889484405518,0.6528499722480774,0.15553897619247437,17
U02138,G01918,me matarán.,dei'techuner'ku,pinaner'u'ku,olvídenme.,U00305,G00244,hard,0.8289914727210999,0.7294115424156189,0.09957993030548096,2
U02138,G01918,me matarán.,dei'techuner'ku,pinaner'u,olvídame.,U00304,G00243,medium,0.8289914727210999,0.6722778081893921,0.15671366453170776,3
